Epoch:0, mse_tr=56.54345, mse_te=30.40952, std_te=21.49556, mae_Stridelength_FF=30.40952, 
Epoch:5, mse_tr=22.80470, mse_te=12.76219, std_te=9.50282, mae_Stridelength_FF=12.76219, 
Epoch:10, mse_tr=20.82371, mse_te=16.75413, std_te=10.57733, mae_Stridelength_FF=16.75413, 
Epoch:15, mse_tr=16.04416, mse_te=14.63881, std_te=9.36516, mae_Stridelength_FF=14.63881, 
Epoch:20, mse_tr=15.09027, mse_te=12.69286, std_te=8.85395, mae_Stridelength_FF=12.69286, 
Epoch:25, mse_tr=15.32879, mse_te=11.47613, std_te=8.30573, mae_Stridelength_FF=11.47613, 
Epoch:30, mse_tr=15.15205, mse_te=23.74794, std_te=10.01622, mae_Stridelength_FF=23.74794, 
Epoch:35, mse_tr=13.10751, mse_te=12.09067, std_te=8.21996, mae_Stridelength_FF=12.09067, 
Epoch:40, mse_tr=11.13350, mse_te=13.43240, std_te=7.53432, mae_Stridelength_FF=13.43240, 
Epoch:45, mse_tr=11.71666, mse_te=12.45656, std_te=9.87546, mae_Stridelength_FF=12.45656, 
Epoch:50, mse_tr=9.93414, mse_te=17.30966, std_te=13.52445, mae_Stridelength_FF=17.30966, 
Epoch:55, mse_tr=11.57847, mse_te=13.56828, std_te=9.97245, mae_Stridelength_FF=13.56828, 
Epoch:60, mse_tr=12.26100, mse_te=14.28222, std_te=9.41146, mae_Stridelength_FF=14.28222, 
Epoch:65, mse_tr=11.07034, mse_te=9.22871, std_te=7.18960, mae_Stridelength_FF=9.22871, 
Epoch:70, mse_tr=11.00194, mse_te=12.38501, std_te=10.32395, mae_Stridelength_FF=12.38501, 
Epoch:75, mse_tr=10.17351, mse_te=11.22905, std_te=8.98461, mae_Stridelength_FF=11.22905, 
Epoch:80, mse_tr=9.55779, mse_te=15.51452, std_te=10.65941, mae_Stridelength_FF=15.51452, 
Epoch:85, mse_tr=9.69372, mse_te=16.78955, std_te=11.94267, mae_Stridelength_FF=16.78955, 
Epoch:90, mse_tr=9.36182, mse_te=13.07701, std_te=7.25116, mae_Stridelength_FF=13.07701, 
Epoch:95, mse_tr=10.07273, mse_te=14.01641, std_te=7.36835, mae_Stridelength_FF=14.01641, 
Epoch:100, mse_tr=8.61707, mse_te=16.34685, std_te=9.41765, mae_Stridelength_FF=16.34685, 
Epoch:105, mse_tr=8.73065, mse_te=12.13304, std_te=8.29718, mae_Stridelength_FF=12.13304, 
Epoch:110, mse_tr=9.27033, mse_te=12.72760, std_te=8.58720, mae_Stridelength_FF=12.72760, 
Epoch:115, mse_tr=8.93037, mse_te=11.23061, std_te=8.51298, mae_Stridelength_FF=11.23061, 
Epoch:120, mse_tr=8.78480, mse_te=8.59628, std_te=6.68383, mae_Stridelength_FF=8.59628, 
Epoch:125, mse_tr=8.92930, mse_te=13.33196, std_te=6.94403, mae_Stridelength_FF=13.33196, 
Epoch:130, mse_tr=9.44031, mse_te=11.73143, std_te=8.05929, mae_Stridelength_FF=11.73143, 
Epoch:135, mse_tr=7.97970, mse_te=11.78237, std_te=8.74624, mae_Stridelength_FF=11.78237, 
Epoch:140, mse_tr=9.87302, mse_te=11.39080, std_te=7.04105, mae_Stridelength_FF=11.39080, 
Epoch:145, mse_tr=8.22603, mse_te=11.93463, std_te=7.16128, mae_Stridelength_FF=11.93463, 
Epoch:150, mse_tr=8.31971, mse_te=10.88328, std_te=9.26980, mae_Stridelength_FF=10.88328, 
Epoch:155, mse_tr=7.97058, mse_te=12.17717, std_te=11.02400, mae_Stridelength_FF=12.17717, 
Epoch:160, mse_tr=7.69538, mse_te=10.68538, std_te=6.74428, mae_Stridelength_FF=10.68538, 
Epoch:165, mse_tr=7.59253, mse_te=12.04931, std_te=6.60391, mae_Stridelength_FF=12.04931, 
Epoch:170, mse_tr=8.23001, mse_te=11.10647, std_te=7.83551, mae_Stridelength_FF=11.10647, 
Epoch:175, mse_tr=8.40409, mse_te=13.31722, std_te=7.68361, mae_Stridelength_FF=13.31722, 
Epoch:180, mse_tr=8.47728, mse_te=13.90299, std_te=7.46870, mae_Stridelength_FF=13.90299, 
Epoch:185, mse_tr=8.11881, mse_te=11.39111, std_te=6.28868, mae_Stridelength_FF=11.39111, 
Epoch:190, mse_tr=8.39023, mse_te=12.99051, std_te=6.70897, mae_Stridelength_FF=12.99051, 
Epoch:195, mse_tr=7.73968, mse_te=13.35491, std_te=8.13561, mae_Stridelength_FF=13.35491, 
