Epoch:0, mse_tr=46.58602, mse_te=34.68249, std_te=24.48173, mae_Stridelength_FF=34.68249, 
Epoch:5, mse_tr=24.34704, mse_te=13.44202, std_te=11.71705, mae_Stridelength_FF=13.44202, 
Epoch:10, mse_tr=19.90146, mse_te=31.55317, std_te=22.34189, mae_Stridelength_FF=31.55317, 
Epoch:15, mse_tr=20.12878, mse_te=11.78448, std_te=8.28647, mae_Stridelength_FF=11.78448, 
Epoch:20, mse_tr=16.28595, mse_te=25.86647, std_te=11.84368, mae_Stridelength_FF=25.86647, 
Epoch:25, mse_tr=14.86357, mse_te=16.69536, std_te=9.70128, mae_Stridelength_FF=16.69536, 
Epoch:30, mse_tr=15.11532, mse_te=32.49789, std_te=15.76761, mae_Stridelength_FF=32.49789, 
Epoch:35, mse_tr=12.43014, mse_te=19.26334, std_te=11.72823, mae_Stridelength_FF=19.26334, 
Epoch:40, mse_tr=14.27215, mse_te=19.26487, std_te=12.05066, mae_Stridelength_FF=19.26487, 
Epoch:45, mse_tr=12.21121, mse_te=17.50768, std_te=9.34537, mae_Stridelength_FF=17.50768, 
Epoch:50, mse_tr=11.68512, mse_te=14.92454, std_te=11.19808, mae_Stridelength_FF=14.92454, 
Epoch:55, mse_tr=11.03442, mse_te=21.42083, std_te=9.81616, mae_Stridelength_FF=21.42083, 
Epoch:60, mse_tr=11.03876, mse_te=30.72608, std_te=10.15424, mae_Stridelength_FF=30.72608, 
Epoch:65, mse_tr=11.18902, mse_te=42.17358, std_te=11.66338, mae_Stridelength_FF=42.17358, 
Epoch:70, mse_tr=11.21107, mse_te=20.96193, std_te=13.91702, mae_Stridelength_FF=20.96193, 
Epoch:75, mse_tr=11.13360, mse_te=23.58655, std_te=17.08721, mae_Stridelength_FF=23.58655, 
Epoch:80, mse_tr=10.43316, mse_te=16.01741, std_te=10.20634, mae_Stridelength_FF=16.01741, 
Epoch:85, mse_tr=9.90834, mse_te=33.90616, std_te=9.93469, mae_Stridelength_FF=33.90616, 
Epoch:90, mse_tr=9.42865, mse_te=8.51955, std_te=5.95361, mae_Stridelength_FF=8.51955, 
Epoch:95, mse_tr=8.93566, mse_te=11.99256, std_te=7.82771, mae_Stridelength_FF=11.99256, 
Epoch:100, mse_tr=10.67949, mse_te=12.59970, std_te=8.56281, mae_Stridelength_FF=12.59970, 
Epoch:105, mse_tr=9.83122, mse_te=23.70019, std_te=8.47879, mae_Stridelength_FF=23.70019, 
Epoch:110, mse_tr=8.36421, mse_te=13.02799, std_te=8.34518, mae_Stridelength_FF=13.02799, 
Epoch:115, mse_tr=8.76152, mse_te=13.73072, std_te=7.95897, mae_Stridelength_FF=13.73072, 
Epoch:120, mse_tr=8.28933, mse_te=12.67271, std_te=7.99264, mae_Stridelength_FF=12.67271, 
Epoch:125, mse_tr=8.82664, mse_te=9.41055, std_te=6.75763, mae_Stridelength_FF=9.41055, 
Epoch:130, mse_tr=8.17274, mse_te=9.43069, std_te=6.55632, mae_Stridelength_FF=9.43069, 
Epoch:135, mse_tr=9.00996, mse_te=14.21553, std_te=9.53145, mae_Stridelength_FF=14.21553, 
Epoch:140, mse_tr=8.88300, mse_te=18.74084, std_te=11.03903, mae_Stridelength_FF=18.74084, 
Epoch:145, mse_tr=8.02348, mse_te=14.91999, std_te=10.11452, mae_Stridelength_FF=14.91999, 
Epoch:150, mse_tr=8.47794, mse_te=12.27117, std_te=8.90080, mae_Stridelength_FF=12.27117, 
Epoch:155, mse_tr=9.46632, mse_te=9.19894, std_te=5.97773, mae_Stridelength_FF=9.19894, 
Epoch:160, mse_tr=7.81559, mse_te=14.44249, std_te=9.75219, mae_Stridelength_FF=14.44249, 
Epoch:165, mse_tr=8.02901, mse_te=13.34833, std_te=8.89455, mae_Stridelength_FF=13.34833, 
Epoch:170, mse_tr=7.91270, mse_te=14.54885, std_te=8.64734, mae_Stridelength_FF=14.54885, 
Epoch:175, mse_tr=7.37190, mse_te=10.80507, std_te=7.12521, mae_Stridelength_FF=10.80507, 
Epoch:180, mse_tr=7.84571, mse_te=15.12634, std_te=9.35659, mae_Stridelength_FF=15.12634, 
Epoch:185, mse_tr=7.03363, mse_te=10.62840, std_te=7.71415, mae_Stridelength_FF=10.62840, 
Epoch:190, mse_tr=7.40151, mse_te=10.65967, std_te=7.29544, mae_Stridelength_FF=10.65967, 
Epoch:195, mse_tr=7.65993, mse_te=20.71343, std_te=11.15294, mae_Stridelength_FF=20.71343, 
